iter	MultiClass
0	1.714286891
1	1.629742647
2	1.556784745
3	1.491446891
4	1.432743446
5	1.380293563
6	1.332227036
7	1.292934389
8	1.254546506
9	1.217646666
10	1.184932103
11	1.159071362
12	1.130963069
13	1.103677823
14	1.078740582
15	1.057324999
16	1.036088303
17	1.011510528
18	0.9928787451
19	0.975918442
20	0.9594612236
21	0.9435002542
22	0.929334173
23	0.9146593322
24	0.8993609618
25	0.8861950671
26	0.8722204846
27	0.860352604
28	0.8440838247
29	0.8342516706
30	0.8240780966
31	0.8126762988
32	0.80350467
33	0.7922950849
34	0.781774911
35	0.7736115893
36	0.7660720787
37	0.756584747
38	0.7490405751
39	0.7411085607
40	0.7343469337
41	0.7275099194
42	0.7196832203
43	0.712536569
44	0.7064433857
45	0.7006099817
46	0.693522536
47	0.6844405035
48	0.6780912481
49	0.6723366043
50	0.666719241
51	0.6604777359
52	0.655132672
53	0.6511719653
54	0.6457325144
55	0.6390607625
56	0.6328646092
57	0.6263869291
58	0.6222530829
59	0.6168615035
60	0.6127709958
61	0.6075966452
62	0.6038065925
63	0.5997411421
64	0.5950001873
65	0.5914211131
66	0.587630953
67	0.5842365984
68	0.5781867222
69	0.5739127274
70	0.5686997006
71	0.5649034719
72	0.5613495847
73	0.5566853719
74	0.5521297457
75	0.548939379
76	0.5443939004
77	0.5401809694
78	0.5367061848
79	0.5328272968
80	0.5287390638
81	0.5244871385
82	0.5207217741
83	0.5170536058
84	0.5127649628
85	0.5105383876
86	0.5062237987
87	0.5022756005
88	0.4987055233
89	0.4959663181
90	0.4929190551
91	0.4895780383
92	0.486802713
93	0.4843075129
94	0.4807828879
95	0.4782392478
96	0.4757447938
97	0.4719047817
98	0.468183306
99	0.4653962517
100	0.4633353598
101	0.4605886348
102	0.4581705825
103	0.4553861825
104	0.4527160244
105	0.4496748934
106	0.4472024242
107	0.4445711802
108	0.4421416161
109	0.439657468
110	0.4372888229
111	0.4353398876
112	0.4334502936
113	0.4300049077
114	0.4275814644
115	0.425316805
116	0.4237327907
117	0.4216026306
118	0.4196208797
119	0.41846068
120	0.4162124623
121	0.4144525754
122	0.4119186596
123	0.4104844446
124	0.4086108305
125	0.4068155806
126	0.4040378382
127	0.4021760115
128	0.4004414511
129	0.3980154449
130	0.3964156434
131	0.3956462921
132	0.3934665494
133	0.3914336133
134	0.3880530407
135	0.3860526201
136	0.3841456137
137	0.3818770672
138	0.3795901317
139	0.377829133
140	0.3762824221
141	0.374712606
142	0.3726563712
143	0.3694029853
144	0.3673042877
145	0.3653248171
146	0.3634347738
147	0.3615403765
148	0.3593871563
149	0.3576912943
150	0.3559463569
151	0.3540112663
152	0.3528343771
153	0.3513735575
154	0.3490251941
155	0.3475042793
156	0.3457410052
157	0.3441970049
158	0.3427318079
159	0.3405393579
160	0.3386161333
161	0.3371652294
162	0.3352005204
163	0.3330854499
164	0.3320613741
165	0.3306341504
166	0.3291331624
167	0.3280719885
168	0.3268187464
169	0.325777469
170	0.3245736844
171	0.3232725293
172	0.3222971112
173	0.3207031249
174	0.3194328391
175	0.3180561919
176	0.3170615345
177	0.3162215289
178	0.3145068447
179	0.3135443527
180	0.3125361802
181	0.3114850662
182	0.3095598325
183	0.3081897561
184	0.3069219902
185	0.3058748189
186	0.3052006709
187	0.303215744
188	0.3021111135
189	0.3005588749
190	0.2997463753
191	0.2986074504
192	0.2971706025
193	0.2953476165
194	0.2942031418
195	0.2929804447
