iter	Passed	Remaining
0	29	29554
1	60	29947
2	96	31920
3	132	33094
4	167	33265
5	201	33325
6	235	33385
7	268	33298
8	301	33249
9	336	33291
10	371	33378
11	406	33460
12	441	33510
13	475	33521
14	509	33435
15	544	33467
16	578	33475
17	613	33476
18	647	33431
19	681	33383
20	714	33330
21	749	33318
22	782	33247
23	816	33195
24	850	33184
25	885	33169
26	919	33120
27	953	33103
28	989	33127
29	1023	33085
30	1056	33033
31	1089	32948
32	1128	33066
33	1172	33315
34	1221	33681
35	1264	33864
36	1304	33959
37	1342	33997
38	1382	34059
39	1417	34016
40	1454	34020
41	1493	34072
42	1528	34013
43	1561	33934
44	1597	33899
45	1631	33835
46	1665	33771
47	1700	33731
48	1736	33697
49	1770	33637
50	1804	33575
51	1838	33512
52	1872	33464
53	1908	33427
54	1942	33373
55	1975	33308
56	2012	33298
57	2051	33321
58	2089	33317
59	2125	33304
60	2162	33283
61	2196	33225
62	2232	33207
63	2267	33161
64	2301	33106
65	2337	33073
66	2372	33042
67	2406	32982
68	2440	32932
69	2475	32886
70	2510	32843
71	2544	32801
72	2580	32769
73	2615	32733
74	2650	32684
75	2684	32632
76	2716	32563
77	2751	32522
78	2786	32487
79	2820	32440
80	2855	32398
81	2890	32363
82	2924	32314
83	2958	32263
84	2993	32223
85	3027	32173
86	3059	32109
87	3096	32089
88	3130	32045
89	3170	32056
90	3205	32017
91	3240	31982
92	3276	31949
93	3310	31911
94	3344	31864
95	3379	31823
96	3413	31779
97	3448	31738
98	3483	31705
99	3519	31672
100	3553	31630
101	3587	31584
102	3622	31547
103	3657	31507
104	3692	31476
105	3726	31432
106	3759	31379
107	3793	31330
108	3828	31292
109	3863	31255
110	3897	31215
111	3932	31179
112	3968	31147
113	4002	31110
114	4037	31073
115	4073	31040
116	4109	31014
117	4144	30979
118	4207	31150
119	4234	31053
120	4265	30987
121	4299	30939
122	4333	30896
123	4366	30848
124	4401	30808
125	4436	30772
126	4471	30735
127	4505	30696
128	4544	30683
129	4579	30644
130	4613	30602
131	4647	30563
132	4681	30515
133	4714	30469
134	4748	30424
135	4782	30383
136	4816	30341
137	4850	30298
138	4885	30261
139	4919	30220
140	4952	30168
141	4986	30127
142	5019	30083
143	5057	30061
144	5092	30027
145	5127	29991
146	5161	29952
147	5198	29925
148	5233	29889
149	5267	29851
150	5302	29813
151	5337	29779
152	5371	29736
153	5407	29706
154	5444	29678
155	5479	29647
156	5515	29617
157	5550	29579
158	5583	29535
159	5618	29496
160	5651	29453
161	5687	29421
162	5723	29387
163	5756	29344
164	5791	29309
165	5827	29276
166	5862	29241
167	5896	29202
168	5931	29164
169	5964	29120
170	5997	29077
171	6033	29043
172	6069	29013
173	6103	28973
